Unnamed: 0,recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
565,Persimmon-Burrata Focaccia,10 minutos,40 minutos,50 minutos,2,2 porciones,"1 pan de focaccia precocido de 9 pulgadas, 1 persimmón Fuyu, pelado y rebanado en rondas de 1/4 pulgadas, 4 cucharaditas de aceite de oliva, dividido, 1⁄2 cucharadita de sal, 2 ramitas de romero fresco, hojas desnudadas, 1⁄2 taza de queso burrata","Precaliente el horno a 350 grados F (175 grados C). Línea una hoja de horneado con papel de pergamino.
Rebanadas de persimmón en la hoja de horneado preparada. Deslumbrar con 2 cucharaditas de aceite de oliva y espolvorear sal encima. Espolvorear 1/2 las hojas de romero sobre las rodajas de persimmón.
Asiento en el horno precalentado durante 20 minutos. Gire las rodajas de persimmón y asar 10 minutos más.
Quitar la hoja de horneado del horno y aumentar la temperatura a 200 grados C. Colocar la focaccia en una hoja de horneado.
Hornea la focaccia en el horno caliente hasta que se calienta, unos 5 minutos. Retirar del horno y la focaccia superior con rodajas de persimmón asado. Queso tear burrata usando sus manos y poner uniformemente en la focaccia, evitando las rodajas de persimmón. Reserve alrededor de 1 cucharada de hojas romero y espolvoree el resto encima.
Regrese la focaccia al horno caliente y hornee hasta que el queso caliente y burrata se haya fundido ligeramente, unos 5 minutos. Top con hojas de romero frescas reservadas y goteo restante 2 cucharaditas de aceite de oliva en la parte superior. Slice y servir caliente.",5.0,https://www.allrecipes.com/recipe/269164/roasted-persimmon-burrata-focaccia/,/ Apetizers and Snacks/Cheese/,"Total Fat 31g 40%, Saturated Fat 12g 62%, Cholesterol 45mg 15%, Sodium 2067mg 90%, Total Carbohydrate 118g 43%, Dietary Fiber 6g 23%, Total Sugars 2g, Protein 29g, Vitamin C 8mg 42%, Calcium 183mg 14%, Iron 7mg 39%, Potassium 294mg 6%","Tiempo de preparación: 10 minutos, Tiempo de cocción: 40 minutos, Tiempo total: 50 minutos, Serviciones: 2, Rendimiento: 2 porciones",https://www.allrecipes.com/thmb/YY9YGFUcF4945PXRrfwGYTh2y4E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5964553-e9f778e6294842b1864159e9e319d4c8.jpg
566,Cookies Persimmon IV,15 minutos,15 minutos,1 hrs 30 mins,36,3 docenas,"4 tazas de harina de todo uso, 2 cucharaditas de bicarbonato de sodio, 1 cucharadita de canela, 1 jengibre de tierra de cucharadita, 1 taza de mantequilla, 2 tazas de azúcar blanca, 2 huevos, 2 tazas de pulpa de persimmón","Precaliente un horno a 375 grados F (190 grados C).
Alargar la harina, hornear soda, canela y jengibre en un tazón; dejar a un lado. Batir la mantequilla y el azúcar con una mezcladora eléctrica en un tazón grande hasta que esté suave. Añadir los huevos uno a la vez, permitiendo que cada huevo se mezcla en la mezcla de mantequilla antes de añadir el siguiente. Golpear en la pulpa de persimmón. Mezcla en la mezcla de harina hasta que se incorpore. Tirar cucharadas de la masa 2 pulgadas de distancia sobre hojas de horneado sin grasa.
Hornea en el horno precalentado hasta que esté ligeramente hinchado y dorado, unos 12 minutos. Enfriar en la cacerola durante 5 minutos antes de retirarse para enfriar completamente en un bastidor de alambre.",4.3,https://www.allrecipes.com/recipe/84158/persimmon-cookies-iv/,/Desserts/Cookies/Drop Cookie Recipes/,"Total Fat 6g 7%, Saturated Fat 3g 17%, Cholesterol 24mg 8%, Sodium 111mg 5%, Total Carbohydrate 26g 10%, Dietary Fiber 1g 2%, Total Sugars 11g, Protein 2g, Vitamin C 9mg 43%, Calcium 9mg 1%, Iron 1mg 6%, Potassium 62mg 1%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 15 minutos, Tiempo adicional: 1 hrs, Tiempo total: 1 hrs 30 minutos, Servings: 36, Yield: 3 dozen",https://www.allrecipes.com/thmb/UF2Y-oSgNq3OV5_j_q4RJKDBM48=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4886398-af65defa69614394b04cfdae1312fb8c.jpg
567,Pan de Persimmon III,20 minutos,50 minutos,1 hrs 10 min,24,2 panes,"2 tazas de azúcar blanco, 1 1⁄2 tazas de harina de trigo, 1 1⁄2 tazas de harina de todo uso, 1⁄2 taza de avena, 1⁄2 cucharadita de sal, 1 cucharadita de canela de tierra, 1⁄2 tazas de nuez picada, 1 cucharadita de tierra, 1⁄2 tazas de aceite de oliva","Precaliente el horno a 350 grados F (175 grados C).
En un tazón, revuelve el azúcar, la harina de trigo, la harina de todo propósito, la avena, la canela de sal, la nuez moscada, el almizcle, los coágulos y la soda de horneado, hasta que esté bien mezclado. A un lado. En un tazón separado, mueva la pulpa de persimmón con puré de manzana, aceite vegetal y huevos hasta que se mezcla bien. Combine los ingredientes húmedos y secos, revolviendo hasta libre de bultos. Divide bateador entre dos sartenes de hoja de 9x5 pulgadas de grasa.
Hornea en el horno precalentado durante una hora, o hasta que un palillo insertado en el centro de los panes salga limpio.",4.4,https://www.allrecipes.com/recipe/67111/persimmon-bread-iii/,/Recetas de pan rápido/recetas de pan de frutas/,"Total Fat 6g 7%, Saturated Fat 1g 5%, Cholesterol 17mg 6%, Sodium 168mg 7%, Total Carbohydrate 37g 14%, Dietary Fiber 1g 4%, Total Sugars 17g, Protein 3g, Vitamin C 13mg 66%, Calcium 20mg 2%, Iron 2mg 10%, Potassium 98mg 2%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 50 minutos, Tiempo total: 1 hrs 10 minutos, Serviciones: 24, Rendimiento: 2 panes",https://www.allrecipes.com/thmb/3OmdbyocFPgzFCHbqqXsNE0c8aU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1056755-9b6f0f7648c54731bb6283bd0b41bcc3.jpg
568,Pan de levadura de Raisin Persimmon,5 minutos,3 minutos,8 minutos,12,1 a 1/2 - loaf de libra,"1⁄2 taza de pulpa de persimmón muy madura, 9 cucharadas de agua, 2 cucharadas de mantequilla, 1 1⁄2 cucharaditas de azúcar blanca, 1 1⁄2 cucharaditas de sal, 2 tazas de harina de pan, 1 taza de harina de trigo entera, 2 cucharadas de trigo germen, 1 cucharadita de canela de tierra, 2 1⁄2 cucharaditas de levadura seca activa","Coloque todos los ingredientes excepto las pasas en la sartén de la máquina de pan en el orden recomendado por el fabricante. Use el ciclo básico o blanco. Es posible que necesite añadir una cucharada extra de agua durante el amasamiento
Si su máquina tiene un ajuste de frutas, agregue las pasas a la señal, o unos 5 minutos antes de que termine el ciclo de amasamiento.",3.5,https://www.allrecipes.com/recipe/24271/persimmon-raisin-yeast-bread/,/Breakfast y Brunch/Breakfast Bread Recipes/,"Total Fat 3g 3%, Saturated Fat 1g 7%, Cholesterol 5mg 2%, Sodium 307mg 13%, Total Carbohydrate 31g 11%, Dietary Fiber 2g 9%, Total Sugars 1g, Protein 5g, Vitamin C 7mg 33%, Calcium 15mg 1%, Iron 2mg 11%, Potassium 137mg 3%","Tiempo de preparación: 5 minutos, Tiempo de cocción: 3 minutos, Tiempo total: 8 minutos, Pasos: 12, Rendimiento: 1 a 1/2 - libra loaf",https://www.allrecipes.com/thmb/YzY_V3k7882xyX1mDhS71FQSxC8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7218628-62fd85428cea4a96a183347747cbe284.jpg
569,Deep Dish Persimmon Pie,20 minutos,45 minutos,2 hrs 5 min,8,1 Pastel de plato profundo de 8 pulgadas,"1⁄4 taza de azúcar marrón claro, empaquetado, 1 cucharada de canela molida, 1 cucharada de almidón de maíz, 1⁄8 cucharadita de sal marina, 6 tazas Fuyu persimmons, pelado y rebanado finamente, 10 galletas graham, triturado, 1⁄4 taza de mantequilla, fundido","Precaliente un horno a 375 grados F (190 grados C).
Combine azúcar marrón, canela, almidón de maíz y sal marina en un tazón pequeño. Difundir la mitad de los persimmones en una placa de tarta profunda de 8 pulgadas. Espolvorear con la mitad de la mezcla de azúcar. Repita con los persimmones restantes y la mezcla de azúcar. A un lado. Mezcla las migajas de galletas graham y mantequilla fundida hasta que se combinan uniformemente. Esparce la corteza uniformemente sobre los persimmones.
Hornea hasta que la corteza sea marrón dorado y los persimmones son tiernos, unos 45 minutos. Servir caliente.",3.8,https://www.allrecipes.com/recipe/212695/deep-dish-persimmon-pie/,/Desserts/Pies/Fruit Pies/,"Total Fat 7g 9%, Saturated Fat 4g 19%, Cholesterol 15mg 5%, Sodium 125mg 5%, Total Carbohydrate 74g 27%, Dietary Fiber 3g 12%, Total Sugars 9g, Protein 2g, Vitamin C 116mg 582%, Calcium 66mg 5%, Iron 5mg 29%, Potassium 573mg 12%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 45 minutos, Tiempo adicional: 1 hrs, Tiempo total: 2 hrs 5 minutos, Servings: 8, Yield: 1 Pastel de plato profundo de 8 pulgadas",https://www.allrecipes.com/thmb/DqplQf6pu0SV-xwCX7lx8H1szgc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4581168-2768c3ac69434e0ea8602b01e57227c7.jpg
570,Cookies de Raisin de Persimmon,20 minutos,12 minutos,32 minutos,60,60 cookies,"2 tazas de azúcar blanco, 1 taza de acortamiento, 2 huevos, 4 tazas de harina de todo uso, 1 cucharadita de sal, 2 cucharaditas de bicarbonato de sodio, 2 cucharaditas de canela de tierra, 2 cucharaditas de nuez molida, 2 tazas de pulpa de persimmón, 2 tazas de pasta de raisina, 2 tazas de nueces picadas","Precaliente el horno a 350 grados F (175 grados C). Engrasar ligeramente dos hojas de horneado.
Crea el azúcar y acortar juntos en un tazón de mezcla grande hasta que la luz y la fluidez. Golpea los huevos, uno a la vez. Cortar en la harina, la sal, hornear soda, canela y nuez moscada, mezclando a fondo. Mezcla en la pulpa de persimmón, pasta de pasas y nueces. Suelta por cucharadas en hojas de galletas preparadas, y se extiende ligeramente.
Hornear precalentada hasta que la parte superior de la cookie recupere cuando se toca, de 12 a 15 minutos. Permitir que las cookies se enfríen en la hoja de horneado durante 5 minutos antes de transferirse a un rack de alambre para enfriar completamente.",4.7,https://www.allrecipes.com/recipe/146401/persimmon-raisin-cookies/,/Desserts/Cookies/Fruit Cookie Recipes/Raisin/,"Total Fat 6g 8%, Saturated Fat 1g 6%, Cholesterol 6mg 2%, Sodium 84mg 4%, Total Carbohydrate 23g 8%, Dietary Fiber 1g 4%, Total Sugars 7g, Protein 2g, Vitamin C 6mg 28%, Calcium 13mg 1%, Iron 1mg 5%, Potassium 118mg 3%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 12 minutos, Tiempo total: 32 minutos, Servicio: 60, Rendimiento: 60 cookies",https://www.allrecipes.com/thmb/fJZC22vqUoKC1LeMWb40p_DiiMg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2914947-e9139ecc853c46d78526b5632fa142e9.jpg
571,Harriet Davis de Indiana Persimmon Pudding,15 minutos,25 minutos,40 minutos,12,1 9x13 pulgadas de hornear,"1 1⁄2 tazas de leche de mantequilla, 1 cucharadita de bicarbonato de sodio, 1 1⁄2 tazas de harina de todo uso, 1 cucharadita de polvo de horneado, 1⁄2 cucharadita de canela, 1⁄8 cucharadita de sal, 2 tazas de pulpa de persimmón, 2 tazas de azúcar blanca, 2 huevos, bien batido, 1⁄4 taza de crema de batido pesado, 1⁄4 de mantequilla de mel","Precaliente el horno a 325 grados F (165 grados C).
Combine la leche de mantequilla y hornear soda juntos en un tazón.
Combine harina, polvo de horneado, canela y sal en un tazón separado.
Mezcle la pulpa de persimmón y el azúcar juntos en un tazón grande. Batir en huevos. Añadir mezcla de leche de mantequilla alternativamente con mezcla de harina, revolviendo hasta que se combine. Cortar en crema pesada y mantequilla fundida. Vierta bateador en una sartén de 9x13 pulgadas.
Hornea en el horno precalentado hasta que los bordes se alejan de los lados de la sartén y las grietas comienzan a aparecer en el centro, de 25 a 30 minutos. Relájate hasta servir.",4.5,https://www.allrecipes.com/recipe/255797/harriet-daviss-indiana-persimmon-pudding/,/Desserts/Custards and Puddings/,"Total Fat 7g 9%, Saturated Fat 4g 20%, Cholesterol 49mg 16%, Sodium 243mg 11%, Total Carbohydrate 60g 22%, Dietary Fiber 1g 4%, Total Sugars 35g, Protein 4g, Vitamin C 26mg 131%, Calcium 81mg 6%, Iron 2mg 11%, Potassium 202mg 4%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 25 minutos, Tiempo total: 40 minutos, Actuaciones: 12, Rendimiento: 1 9x13 pulgadas pan de horneado",https://www.allrecipes.com/thmb/PTXe8xgnWe7o2Ygyx4lOM6OKrv4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4356754-84dd9787622a4fe2bc2f7953a1164519.jpg
572,Persimmon Pudding Pie,15 minutos,1 hrs,1 hrs 15 mins,8,8 porciones,"2 cucharadas de mantequilla, derretida, 2 tazas de pulpa de persimmón, 2 tazas de azúcar blanca, 3 huevos, ligeramente batido, 1⁄4 tazas de leche de mantequilla, 1 cucharadita de bicarbonato de sodio, 2 tazas de harina de todo uso, 1 cucharadita de polvo para hornear, 1⁄2 cucharadita de canela de tierra, 1⁄2 cucharadita de sal, 1⁄2 taza de cucharadita","Precaliente el horno a 325 grados F (165 grados C). Esparce la mantequilla derretida uniformemente sobre el fondo de un plato de hornear.
Batir la pulpa de persimmón y el azúcar juntos en un tazón; batir en los huevos. Golpear en leche de mantequilla y hornear soda.
Harina de injerto, polvo de horneado, canela y sal juntos en un tazón. Agregue gradualmente la mezcla de harina a la mezcla de persimmón, revolviendo hasta que esté bien incorporada; mueva en el extracto de vainilla. Vierte el bateador de persimmón en el plato de horneado preparado.
Hornee en el horno precalentado hasta que dore ligeramente y cocine a través de, alrededor de 1 hora.",4.8,https://www.allrecipes.com/recipe/235254/persimmon-pudding-pie/,/Desserts/Pies/No-Bake Recetas de Pie/Pudding Recetas/,"Total Fat 6g 7%, Saturated Fat 3g 14%, Cholesterol 79mg 26%, Sodium 452mg 20%, Total Carbohydrate 96g 35%, Dietary Fiber 2g 6%, Total Sugars 52g, Protein 7g, Vitamin C 39mg 196%, Calcium 112mg 9%, Iron 3mg 19%, Potassium 302mg 6%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 1 hrs, Tiempo total: 1 hrs 15 min, Serviciones: 8, Rendimiento: 8 porciones",https://www.allrecipes.com/thmb/EXdP8t-MBW3MYLJO-aDTCzdDLcA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7210489-8c4da743f2f448d6956abbbac14dd1ed.jpg
573,Navidad Cranberry-Persimmon Loaf,20 minutos,1 hrs 15 mins,2 hrs 5 min,12,1 hoja de 9x5 pulgadas,"1⁄2 tazas de harina de todo uso, 1 cucharada de canela de tierra, 1 cucharadita de bicarbonato de sodio, 1⁄2 cucharadita de sal, 1⁄4 de cucharadita de jengibre de tierra, o más al gusto, 1⁄4 taza de nuez picada de tierra, o más al gusto, 1⁄2 taza de nuez tostada picada, 1⁄2 taza de cangrejo seco","Precaliente el horno a 325 grados F (165 grados C). Grasa una sartén de 9x5 pulgadas y polvo en el fondo con harina.
Mezcle harina, canela, bicarbonato de soda, sal, jengibre y nuez moscada en un tazón pequeño. Añadir nueces y arándanos; tirar o mezclar con los dedos para asegurar que las arándanos no se queden juntas.
Huevos de batido, azúcar morena y aceite juntos en un tazón mediano hasta que los huevos estén bien golpeados. Cortar en piezas de persimmón seguido de la mezcla de harina. Vierta en la sartén preparada.
Hornea en el horno precalentado hasta que un cuchillo insertado en el centro salga limpio, 1 hora y 15 minutos a 1/2 horas.
Retirar del horno y dejar enfriar en un rack de alambre durante 15 minutos. Deslizar un cuchillo alrededor de los lados y deslizar el pan hacia el rack para terminar el enfriamiento, 15 a 30 minutos más, antes de cortar.",4.8,https://www.allrecipes.com/recipe/276892/christmas-cranberry-persimmon-loaf/,/Recetas de pan rápido / Recetas de pan de frutas / Recetas de pan de arándano / Recetas de pan de arándano /,"Total Fat 14g 17%, Saturated Fat 2g 9%, Cholesterol 31mg 10%, Sodium 218mg 9%, Total Carbohydrate 34g 12%, Dietary Fiber 2g 5%, Total Sugars 17g, Protein 4g, Vitamin C 6mg 28%, Calcium 31mg 2%, Iron 1mg 8%, Potassium 97mg 2%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 1 hrs 15 mins, Tiempo adicional: 30 minutos, Tiempo total: 2 hrs 5 mins, Servings: 12, Yield: 1 9x5-inch loaf",https://www.allrecipes.com/thmb/49N0gqfzQ5lhqj-ImdtYaOJs2j4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7519453-1d94772288f14e1e991d30f9a2e92d76.jpg
574,Paleo Persimmon Pie,30 minutos,,30 minutos,8,8 rebanadas,"1⁄2 cucharadita de aceite de oliva, 3 tazas de nueces, 20 fechas manchadas, 1⁄4 taza de néctar de agave, 6 persimmones maduros, 2 cucharadas de nueces picadas, 1 canela de tierra de cucharadita, para adornar","Engrasar ligeramente una bandeja de 8 pulgadas con aceite de oliva.
Blend 3 tazas de nueces y fechas en un procesador de alimentos hasta finamente tierra, alrededor de 1 minuto. Vierta el néctar de agave sobre la mezcla de nuez y el proceso hasta que se incorpore completamente, unos 30 segundos. Presione la mezcla de nuez uniformemente en la sartén preparada.
Peel y pit persimmons, luego puré en procesador de alimentos hasta que esté suave. Vierta sobre la corteza y lisa. Decorar con nueces picadas y canela.",5.0,https://www.allrecipes.com/recipe/228719/paleo-persimmon-pie/,/Desserts/Pies/No-Bake Pie Recipes/,"Total Fat 31g 40%, Saturated Fat 3g 14%, Sodium 1mg 0%, Total Carbohydrate 36g 13%, Dietary Fiber 7g 24%, Total Sugars 22g, Protein 5g, Vitamin C 13mg 65%, Calcium 46mg 4%, Iron 2mg 10%, Potassium 371mg 8%","Tiempo de preparación: 30 minutos, Tiempo total: 30 minutos, Actuaciones: 8, Rendimiento: 8 rebanadas",https://www.allrecipes.com/thmb/pjIE-wIHBsekrfdpIJdeniUVLis=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1569009-268177fbb6c3446bb32fbf9c3f1bfd76.jpg
575,"Persimmon, granada y salada de Kale Masajeada",25 minutos,5 minutos,30 minutos,4,4 porciones,"1⁄2 taza de nueces macadamia crudas, 2 cucharadas de jarabe de arce, dividida, 1 pizca de sal","Precaliente el horno a 375 grados F (190 grados C). Línea una hoja de horneado con papel de pergamino.
Toss macademia tuercas con 1 cucharada de jarabe de arce y pizca de sal; se extendió en la hoja de horneado.
Nueces de macademia tostadas en el horno precalentado hasta que estén ligeramente doradas, unos 5 minutos. Quitar del horno y el abrigo con 1 cucharada de jarabe de arce.
Zumo de naranja de batido, jugo de limón, jarabe de arce de 1 cucharada, y pimienta negra de tierra juntos en un tazón pequeño para hacer el aderezo.
Colocar piezas de col rizada, 1 cucharada de aceite de oliva, y 1/2 cucharadita de sal en un tazón grande; masaje con las manos hasta que la col rizada sea tierna, de 3 a 5 minutos. Agregue rodajas de persimmon y aderezo y mezcle para mezclar. Top con semillas granadas y nueces de macademia coronadas por arce.",4.0,https://www.allrecipes.com/recipe/245726/persimmon-pomegranate-and-massaged-kale-salad/,/Salad/Green Salad Recipes/Kale Salad Recipes/,"Total Fat 18g 23%, Saturated Fat 3g 14%, Sodium 429mg 19%, Total Carbohydrate 41g 15%, Dietary Fiber 6g 22%, Total Sugars 13g, Protein 9g, Vitamin C 285mg 1,426%, Calcium 332mg 26%, Iron 5mg 27%, Potassium 1185mg 25%","Tiempo de preparación: 25 minutos, Tiempo de cocción: 5 minutos, Tiempo total: 30 minutos, Serviciones: 4, Rendimiento: 4 porciones",https://www.allrecipes.com/thmb/G36EFdILMmVoeMBBJolfY9GBM7k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3036705-7fcae46ca36f4d25a2034f53fcba3982.jpg
576,Tía Persimmon Cookies,30 minutos,14 minutos,2 hrs 14 min,36,36 cookies,"1⁄2 tazas de pulpa de persimmón, 1 cucharadita de bicarbonato de sodio, 1⁄2 taza de mantequilla, suavizado, 1 taza de azúcar blanco, 2 tazas de harina de todo uso, 1 cucharadita de canela de tierra, 1 cucharadita de coágulos de tierra, 1 taza de nuez picada, 1⁄2 cucharadita de sal, 1 huevo, 1 taza de mecanas picadas de oro","Precaliente el horno a 350 grados F (175 grados C). Línea una hoja de horneado con papel de pergamino o una estera de hornear Silpat®.
Mash persimmon pulpa en un tazón pequeño y revuelva en hornear soda para dejar mezcla congeal.
Batir el azúcar blanco y 1/2 taza de mantequilla con un mezclador eléctrico en un tazón grande hasta que la luz y el fluffy. Harina de olor, canela, clavos, nuez moscada y sal juntos en un segundo tazón.
Mezcla el huevo en la mezcla de persimmón. Añadir mezcla de persimmón y mezcla de harina a la mezcla de mantequilla cremosa y revolver bien para combinar. Pold pecans and raisins into the batter.
Suelte el bateador en la hoja de hornear preparada con un scoop de galletas media.
Hornea en el horno precalentado hasta que esté ligeramente dorado y hinchado, de 13 a 15 minutos. Retire del horno y enfríe completamente en los racks de alambre, unos 30 minutos.
Mezcla el azúcar de los conserjes, jarabe de arce, 1 cucharada de mantequilla fundida, extracto de vainilla y sal en un tazón hasta que el esmalte de arce sea suave. Coloque una hoja de papel de pergamino bajo el bastidor de alambre para coger los goteros. Drizzle maple glaze en las tapas de las galletas usando una cuchara. Dejar fijar hasta que el glaseado se endurezca, unos 30 minutos.
Cortar el caramelo de cinturón verde en pequeñas formas de hoja utilizando tijeras de cocina. Combine el chocolate blanco y el acortamiento en un vaso seguro de microondas o cuenco de cerámica y derretirse en el microondas en intervalos de 15 segundos, revolviendo después de cada fusión, de 1 a 3 minutos.
Secar un poco de chocolate blanco fundido sobre cada galleta usando una cuchara. Coloque una pieza de chocolate con caramelo rojo en medio de cada cookie y agregue una hoja de cinturón verde a cada lado. Pongamos hasta que se endurezca el glaseado, unos 30 minutos.",4.5,https://www.allrecipes.com/recipe/261480/aunties-persimmon-cookies/,/Desserts/Cookies/Drop Cookie Recipes/,"Total Fat 8g 10%, Saturated Fat 3g 17%, Cholesterol 14mg 5%, Sodium 105mg 5%, Total Carbohydrate 27g 10%, Dietary Fiber 1g 3%, Total Sugars 17g, Protein 2g, Vitamin C 7mg 34%, Calcium 28mg 2%, Iron 1mg 4%, Potassium 96mg 2%","Tiempo de preparación: 30 minutos, Tiempo de cocción: 14 minutos, Tiempo adicional: 1 hrs 30 mins, Tiempo total: 2 hrs 14 mins, Servings: 36, Yield: 36 cookies",https://www.allrecipes.com/thmb/7V43Lh6pP6o69SEoIr2mlf6pF_I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2914931-b91bf2bad5df489387520809ce99277f.jpg
577,Cookies Persimmon III,20 minutos,12 minutos,32 minutos,72,6 docenas,"1⁄2 taza de acortamiento, 1 taza de azúcar blanco, 1 huevo, 1 taza de pulpa de persimmón, 1 taza de harina de todo uso, 1⁄2 cucharadita de polvo de hornear, 1⁄2 cucharadita de sodio, 1⁄2 cucharadita de canela de tierra, 1⁄4 cucharadita de coágulos de tierra, 1⁄2 cucharadita de sal, 1⁄2 taza de raisnut","Precaliente el horno a 350 grados F (175 grados C). Sábanas de galletas de grasa.
En un tazón grande, cremos juntos el acortamiento y el azúcar. Golpear en la pulpa de huevo y persimmón. Combine la harina, hornear soda, canela, clavos y sal; revuelva en la mezcla de persimmón. Doblado en pasas y nueces. Suelta por cucharaditas 2 pulgadas de distancia sobre las hojas de galletas preparadas.
Hornear durante 12 a 15 minutos en el horno precalentado, o hasta que los bordes estén firmes. Deja enfriar las hojas de las galletas durante 1 minuto antes de quitar a los racks de alambre para enfriar completamente.",4.2,https://www.allrecipes.com/recipe/26210/persimmon-cookies-iii/,/Desserts/Cookies/Spice Cookie Recipes/,"Total Fat 2g 3%, Saturated Fat 0g 2%, Cholesterol 3mg 1%, Sodium 29mg 1%, Total Carbohydrate 6g 2%, Dietary Fiber 0g 1%, Total Sugars 3g, Protein 0g, Vitamin C 2mg 11%, Calcium 4mg 0%, Iron 0mg 1%, Potassium 20mg 0%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 12 minutos, Tiempo total: 32 minutos, Servings: 72, Yield: 6 docenas",https://www.allrecipes.com/thmb/v6BHqHRALQI2dWP5qPG2Ka219zI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/27691-1039e9915ed04ef88a07b4c3b8c43d9e.jpg
578,Sandra Persimmon Pudding,,,,4,4 porciones,"1 taza de persimmon pulpa, 1 huevo, batido, 1⁄4 tazas de azúcar blanco, 1 taza de harina de todo uso, 1⁄4 tazas de leche, 1⁄4 cucharadita de bicarbonato de sodio, 1 cucharadita de polvo de hornear, 1⁄2 cucharadita de canela molida, 1⁄4 de cucharadita de sal, 1⁄4 taza de mantequilla, fundido","Butter una sartén de hornear de 9x13 pulgadas. Precaliente el horno a 350 grados F (175 grados C).
En una licuadora, combinar pulpa de persimmón, huevo, azúcar, harina, leche, bicarbonato de soda, polvo de horneado, canela, sal y mantequilla. Blend hasta suave.
Vierta en pan de hornear y hornear durante 30 minutos o hasta que un cuchillo insertado en el centro salga con sólo migajas, pero ningún bateador pegado a él.",4.2,https://www.allrecipes.com/recipe/13665/sandras-persimmon-pudding/,/Desserts/Custards and Puddings/,"Total Fat 15g 19%, Saturated Fat 9g 44%, Cholesterol 83mg 28%, Sodium 478mg 21%, Total Carbohydrate 110g 40%, Dietary Fiber 2g 7%, Total Sugars 66g, Protein 8g, Vitamin C 39mg 195%, Calcium 191mg 15%, Iron 3mg 18%, Potassium 353mg 8%","Serviciones: 4, Rendimiento: 4 porciones",https://www.allrecipes.com/thmb/6_A_AWOndDqg8exYkNACIPi4HXA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2959146-cfb5964c2d97489880d40bfd7025cf54.jpg
579,Spicy Persimmon Chutney,15 minutos,35 minutos,50 minutos,32,4 tazas,"1⁄2 tazas de vinagre de sidra, 1 taza de cebolla picada, 1 gran manzana de Granny Smith - pelado, cortado y picado, 1 taza de pasas de oro, 3⁄4 taza de azúcar blanca, 1⁄4 taza de jugo de limón, 1 chile verde, semillas y picado, 1 cucharada picada raíz de jengibre fresca picada, 1 cucharada de limón zest, 1 cucharada de tierra","Combine vinagre de sidra, cebolla, manzana, pasas, azúcar, zumo de limón, chile verde, jengibre, zest de limón, cilantro y clavos en una gran cacerola. Poner a hervir a fuego medio, revolviendo ocasionalmente. Reducir el calor a medio-bajo y sumergir hasta que la mezcla se espese, revolviendo con frecuencia, unos 25 minutos. Agregue persimmons y martillo hasta que los persimmons sean tiernos, de unos 5 a 10 minutos.
Quitar del calor y dejar enfriar completamente. Cubrir y refrigerar.",3.8,https://www.allrecipes.com/recipe/9210/spicy-persimmon-chutney/,/Side Dish/Sauces and Condiments/Chutney Recipes/,"Total Fat 0g 0%, Sodium 2mg 0%, Total Carbohydrate 11g 4%, Dietary Fiber 1g 2%, Total Sugars 8g, Protein 0g, Vitamin C 8mg 38%, Calcium 7mg 1%, Iron 0mg 1%, Potassium 75mg 2%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 35 minutos, Tiempo total: 50 minutos, Serviendo: 32, Rendimiento: 4 tazas",https://www.allrecipes.com/thmb/Uv6g86q2mA-u7F9gN_bxd6dRPJ0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1095384-66511b9584c84e8db36def18006983a6.jpg
